YPL064C	GO:0071013
YBR212W	GO:0048471
YOR129C	GO:0048471
YNL012W	GO:0043231
YLR189C	GO:0043231
YNL210W	GO:0043229
YCL067C	GO:0043229
YLR312C	GO:0034045
YOR152C	GO:0034045
YOR152C	GO:0032541
YJR085C	GO:0031966
YBL098W	GO:0031966
YDR343C	GO:0031966
YKL084W	GO:0031966
YMR003W	GO:0031966
YOR228C	GO:0031966
YDL027C	GO:0031966
YNL012W	GO:0031965
YML107C	GO:0031965
YMR258C	GO:0031410
YDL069C	GO:0031314
YBL002W	GO:0031298
YBL003C	GO:0031298
YHR126C	GO:0031225
YKL096W-A	GO:0031225
YDR077W	GO:0031225
YDR077W	GO:0031225
YJL078C	GO:0031225
YDL029W	GO:0030479
YDL184C	GO:0022625
YDL184C	GO:0022625
YKL216W	GO:0019898
YDR343C	GO:0016021
YOL119C	GO:0016021
YPL192C	GO:0016021
YGR197C	GO:0016021
YPL006W	GO:0016021
YDR034W-B	GO:0016021
YJR085C	GO:0016021
YOL020W	GO:0016021
YOR044W	GO:0016021
YJL108C	GO:0016021
YLR214W	GO:0016021
YHL036W	GO:0016021
YDR343C	GO:0016021
YGL146C	GO:0016021
YHR195W	GO:0016021
YOR044W	GO:0016021
YDL012C	GO:0016021
YCR026C	GO:0016021
YBR230C	GO:0016021
YIR014W	GO:0016021
YJL132W	GO:0016021
YJL172W	GO:0016021
YBL042C	GO:0016021
YDR160W	GO:0016021
YNL146W	GO:0016021
YPR147C	GO:0016021
YDR342C	GO:0016021
YEL064C	GO:0016021
YBR054W	GO:0016021
YGR071C	GO:0016021
YMR003W	GO:0016021
YMR058W	GO:0016021
YMR088C	GO:0016021
YOR161C	GO:0016021
YBR054W	GO:0016021
YLR188W	GO:0016021
YDR342C	GO:0016021
YNL318C	GO:0016021
YNL012W	GO:0016021
YOR228C	GO:0016021
YKR039W	GO:0016021
YGR168C	GO:0016021
YPR011C	GO:0016021
YHL016C	GO:0016021
YPL265W	GO:0016021
YDR420W	GO:0016021
YIL037C	GO:0016021
YHL028W	GO:0016021
YDR282C	GO:0016021
YLR312C	GO:0016021
YNL237W	GO:0016021
YOR152C	GO:0016021
YOR087W	GO:0016021
YGR197C	GO:0016021
YKR030W	GO:0016021
YCR026C	GO:0016021
YMR034C	GO:0016021
YPR133W-A	GO:0016021
YAL058W	GO:0016021
YOL060C	GO:0016021
YDL027C	GO:0016021
YOR292C	GO:0016021
YPL273W	GO:0016021_E
YJL126W	GO:0016021_E
YMR038C	GO:0016021_E
YPL110C	GO:0016021_E
YGR088W	GO:0016021_E
YBR208C	GO:0016021_E
YGR017W	GO:0016021_E
YNL024C	GO:0016021_E
YML051W	GO:0016021_E
YMR169C	GO:0016021_E
YDL129W	GO:0016021_E
YLR016C	GO:0016021_E
YDL029W	GO:0016021_E
YMR173W	GO:0016021_E
YHR136C	GO:0016021_E
YPL199C	GO:0016021_E
YBR129C	GO:0016021_E
YOR292C	GO:0016021_E
YHL028W	GO:0016021_C
YDR282C	GO:0016021_C
YLR312C	GO:0016021_C
YNL237W	GO:0016021_C
YOR152C	GO:0016021_C
YOR087W	GO:0016021_C
YGR197C	GO:0016021_C
YKR030W	GO:0016021_C
YCR026C	GO:0016021_C
YMR034C	GO:0016021_C
YPR133W-A	GO:0016021_C
YAL058W	GO:0016021_C
YOL060C	GO:0016021_C
YDL027C	GO:0016021_C
YOR292C	GO:0016021_C
YPR147C	GO:0016021_B
YDR342C	GO:0016021_B
YEL064C	GO:0016021_B
YBR054W	GO:0016021_B
YGR071C	GO:0016021_B
YMR003W	GO:0016021_B
YMR058W	GO:0016021_B
YMR088C	GO:0016021_B
YOR161C	GO:0016021_B
YBR054W	GO:0016021_B
YLR188W	GO:0016021_B
YDR342C	GO:0016021_B
YNL318C	GO:0016021_B
YNL012W	GO:0016021_B
YOR228C	GO:0016021_B
YKR039W	GO:0016021_B
YGR168C	GO:0016021_B
YPR011C	GO:0016021_B
YHL016C	GO:0016021_B
YPL265W	GO:0016021_B
YDR420W	GO:0016021_B
YIL037C	GO:0016021_B
YDR343C	GO:0016021_A
YOL119C	GO:0016021_A
YPL192C	GO:0016021_A
YGR197C	GO:0016021_A
YPL006W	GO:0016021_A
YDR034W-B	GO:0016021_A
YJR085C	GO:0016021_A
YOL020W	GO:0016021_A
YOR044W	GO:0016021_A
YJL108C	GO:0016021_A
YLR214W	GO:0016021_A
YHL036W	GO:0016021_A
YDR343C	GO:0016021_A
YGL146C	GO:0016021_A
YHR195W	GO:0016021_A
YOR044W	GO:0016021_A
YDL012C	GO:0016021_A
YCR026C	GO:0016021_A
YBR230C	GO:0016021_A
YIR014W	GO:0016021_A
YJL132W	GO:0016021_A
YJL172W	GO:0016021_A
YBL042C	GO:0016021_A
YDR160W	GO:0016021_A
YNL146W	GO:0016021_A
YBR212W	GO:0010494
YKL096W-A	GO:0009277
YDR077W	GO:0009277
YDR077W	GO:0009277
YDL049C	GO:0009277
YJL078C	GO:0009277
YIL015W	GO:0009277
YDR034W-B	GO:0005938
YNL078W	GO:0005938
YOR129C	GO:0005938
YNL078W	GO:0005935
YOR129C	GO:0005935
YMR034C	GO:0005935
YHR182W	GO:0005934
YHL036W	GO:0005887
YGR071C	GO:0005887
YOR161C	GO:0005887
YKR039W	GO:0005887
YHL016C	GO:0005887
YDR420W	GO:0005887
YOR087W	GO:0005887
YDR343C	GO:0005886
YHR126C	GO:0005886
YGR197C	GO:0005886
YOL020W	GO:0005886
YJL156C	GO:0005886
YLR214W	GO:0005886
YDR343C	GO:0005886
YDL012C	GO:0005886
YFR029W	GO:0005886
YBL042C	GO:0005886
YDR160W	GO:0005886
YDR342C	GO:0005886
YBR054W	GO:0005886
YGR071C	GO:0005886
YMR058W	GO:0005886
YOR161C	GO:0005886
YBR054W	GO:0005886
YDR342C	GO:0005886
YNL318C	GO:0005886
YNL012W	GO:0005886
YKR039W	GO:0005886
YJL100W	GO:0005886
YHL016C	GO:0005886
YPL265W	GO:0005886
YDR420W	GO:0005886
YOR129C	GO:0005886
YDL012C	GO:0005886
YMR034C	GO:0005886
YCR027C	GO:0005886
YBR129C	GO:0005886
YNL210W	GO:0005844
YPL192C	GO:0005816
YGL170C	GO:0005816
YLR227C	GO:0005816
YLR315W	GO:0005816
YJL100W	GO:0005802
YDR524C	GO:0005802
YKR030W	GO:0005794
YOR044W	GO:0005789
YNL146W	GO:0005789
YNL012W	GO:0005789
YKR039W	GO:0005789
YHL028W	GO:0005789
YLR312C	GO:0005789
YOR152C	GO:0005789
YGR197C	GO:0005789
YKR030W	GO:0005789
YAL058W	GO:0005789
YOL088C	GO:0005783
YPL006W	GO:0005783
YOL020W	GO:0005783
YJL108C	GO:0005783
YOR044W	GO:0005783
YCR026C	GO:0005783
YIR014W	GO:0005783
YDR160W	GO:0005783
YNL146W	GO:0005783
YEL064C	GO:0005783
YBR054W	GO:0005783
YMR058W	GO:0005783
YBR054W	GO:0005783
YNL012W	GO:0005783
YKR039W	GO:0005783
YHL016C	GO:0005783
YMR258C	GO:0005783
YLR312C	GO:0005783
YOR152C	GO:0005783
YIR027C	GO:0005783
YGR197C	GO:0005783
YKR030W	GO:0005783
YAL058W	GO:0005783
YOL060C	GO:0005783
YDL027C	GO:0005783
YGR197C	GO:0005783_B
YKR030W	GO:0005783_B
YAL058W	GO:0005783_B
YOL060C	GO:0005783_B
YDL027C	GO:0005783_B
YOL088C	GO:0005783_A
YPL006W	GO:0005783_A
YOL020W	GO:0005783_A
YJL108C	GO:0005783_A
YOR044W	GO:0005783_A
YCR026C	GO:0005783_A
YIR014W	GO:0005783_A
YDR160W	GO:0005783_A
YNL146W	GO:0005783_A
YEL064C	GO:0005783_A
YBR054W	GO:0005783_A
YMR058W	GO:0005783_A
YBR054W	GO:0005783_A
YNL012W	GO:0005783_A
YKR039W	GO:0005783_A
YHL016C	GO:0005783_A
YMR258C	GO:0005783_A
