Gene ID	V.polysp	T.phaffi	T.blatta	N.dairen	N.castel	K.nagani	K.africa	C.glabra	S.uvarum	S.kudria	S.mikata	S.cerevi	Z.rouxii	T.delbru	K.lactis	E.gossyp	E.cymbal	L.kluyve	L.thermo	L.waltii
YAL054C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YAL060W	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0
YBL010C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YBL063W	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
YBR018C	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1
YBR020W	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1
YBR149W	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
YBR150C	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
YBR227C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YCL057W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1
YCL064C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
YCL066W	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0
YCL067C	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0
YCR027C	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0
YCR097W	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0
YDL114W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YDL124W	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1
YDL154W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
YDL174C	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
YDL238C	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
YDR131C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YDR218C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
YDR259C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
YDR261C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
YDR287W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0
YDR294C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YDR303C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
YDR368W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
YDR380W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
YDR399W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YDR415C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
YDR421W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
YDR506C	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
YEL040W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YER028C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YER063W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
YER175C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
YER176W	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
YFL003C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
YGL028C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YGL067W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YGL185C	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1
YGL249W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
YGL251C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
YGR044C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YGR059W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
YGR067C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YGR088W	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0
YGR192C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YGR234W	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
YGR286C	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0
YHL038C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
YHR035W	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
YHR044C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
YHR046C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
